raw_taxa,raw_EOO,raw_AOO,raw_Nbe_unique_occ.,raw_Nbe_subPop,raw_Nbe_loc,raw_Category_CriteriaB,raw_Category_code,raw_Category_AOO,raw_Category_EOO,filtered_EOO,filtered_AOO,filtered_Nbe_unique_occ.,filtered_Nbe_subPop,filtered_Nbe_loc,filtered_Category_CriteriaB,filtered_Category_code,filtered_Category_AOO,filtered_Category_EOO
Malachra capitata,12,12,3,1,1,CR,CR B1a+B2a,CR,CR,12,12,3,1,1,CR,CR B1a+B2a,CR,CR
Malachra fasciata,46,16,4,1,2,EN,EN B1a+B2a,EN,EN,46,16,4,1,2,EN,EN B1a+B2a,EN,EN
Malva parviflora,899422,32,8,8,8,VU,VU B2a,VU,LC or NT,NA,8,2,2,2,EN,EN B2a,EN,NA
Malva sylvestris,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malvastrum americanum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Malvastrum coromandelianum,435931,20,5,5,5,EN,EN B2a,EN,LC or NT,NA,4,1,1,1,CR,CR B2a,CR,NA
Malvaviscus arboreus,1724745,36,9,9,9,VU,VU B2a,VU,LC or NT,347868,24,6,6,6,VU,VU B2a,VU,LC or NT
Malvaviscus penduliflorus,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matisia longiflora,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Melochia betonicifolia,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Melochia lupulina,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Melochia nodiflora,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Melochia pyramidata,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Melochia tomentosa,5320497,28,8,7,7,VU,VU B2a,VU,LC or NT,2671720,16,5,4,4,EN,EN B2a,EN,LC or NT
Modiola caroliniana,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Pachira aquatica,8,8,3,2,2,EN,EN B1a+B2a,EN,EN,8,8,3,2,2,EN,EN B1a+B2a,EN,EN
Pachira speciosa,NA,4,2,1,1,CR,CR B2a,CR,NA,NA,4,2,1,1,CR,CR B2a,CR,NA
Pavonia friesii,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Pavonia guerkeana,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Pavonia nemoralis,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Pavonia sepium,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,8,2,2,2,EN,EN B2a,EN,NA
Pavonia uniflora,NA,4,2,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peltaea obsita,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Pseudobombax ellipticum,616845,24,6,6,6,VU,VU B2a,VU,LC or NT,616845,24,6,6,6,VU,VU B2a,VU,LC or NT
Pseudobombax palmeri,12,12,4,1,1,CR,CR B1a+B2a,CR,CR,12,12,4,1,1,CR,CR B1a+B2a,CR,CR
Sida abutifolia,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Sida acuta,598339,12,3,3,3,EN,EN B2a,EN,LC or NT,598339,12,3,3,3,EN,EN B2a,EN,LC or NT
Sida collina,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sida cordifolia,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,8,2,2,2,EN,EN B2a,EN,NA
Sida glabra,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Sida hirsutissima,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Sida rhombifolia,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,8,2,2,2,EN,EN B2a,EN,NA
Sida ulmifolia,731815,28,7,6,7,VU,VU B2a,VU,LC or NT,729581,20,5,5,5,EN,EN B2a,EN,LC or NT
Sidastrum paniculatum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Sphaeralcea ambigua,18034,32,9,4,5,EN,EN B2a,EN,VU,254,12,3,3,3,EN,EN B1a+B2a,EN,EN
Sphaeralcea angustifolia,194522,20,5,5,5,EN,EN B2a,EN,LC or NT,NA,8,2,2,2,EN,EN B2a,EN,NA
Sphaeralcea coccinea,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Sphaeralcea mendocina,NA,4,2,1,1,CR,CR B2a,CR,NA,NA,4,2,1,1,CR,CR B2a,CR,NA
Talipariti pernambucense,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Talipariti tiliaceum,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Theobroma cacao,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,8,2,2,2,EN,EN B2a,EN,NA
Theobroma grandiflorum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Thespesia populnea,442746,16,4,4,4,EN,EN B2a,EN,LC or NT,NA,8,2,2,2,EN,EN B2a,EN,NA
Urena lobata,7053,20,5,5,5,EN,EN B2a,EN,VU,7053,20,5,5,5,EN,EN B2a,EN,VU
Waltheria bracteosa,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Waltheria indica,1819584,32,10,5,7,VU,VU B2a,VU,LC or NT,1819584,28,8,5,6,VU,VU B2a,VU,LC or NT
